time_step,unique_cells_visited,revisits,reward,total_reward
264,61,150,-0.5,-69.0
265,61,150,-1.0,-70.0
266,61,151,-0.5,-70.5
267,62,151,1.0,-69.5
268,62,152,-0.5,-70.0
269,62,153,-0.5,-70.5
270,62,154,-0.5,-71.0
271,63,154,1.0,-70.0
272,64,154,1.0,-69.0
273,65,154,1.0,-68.0
274,66,154,1.0,-67.0
275,67,154,1.0,-66.0
276,68,154,1.0,-65.0
277,69,154,1.0,-64.0
278,70,154,1.0,-63.0
279,71,154,1.0,-62.0
280,72,154,1.0,-61.0
281,73,154,1.0,-60.0
282,73,155,-0.5,-60.5
283,73,156,-0.5,-61.0
284,74,156,1.0,-60.0
285,74,157,-0.5,-60.5
286,74,157,-1.0,-61.5
287,74,157,-1.0,-62.5
288,75,157,1.0,-61.5
289,76,157,1.0,-60.5
290,77,157,1.0,-59.5
291,77,157,-1.0,-60.5
292,77,157,-1.0,-61.5
293,78,157,1.0,-60.5
294,78,158,-0.5,-61.0
295,78,159,-0.5,-61.5
296,78,160,-0.5,-62.0
297,78,160,-1.0,-63.0
298,78,160,-1.0,-64.0
299,78,160,-1.0,-65.0
300,78,161,-0.5,-65.5
301,78,162,-0.5,-66.0
302,78,162,-1.0,-67.0
303,78,162,-1.0,-68.0
304,78,162,-1.0,-69.0
305,78,162,-1.0,-70.0
306,78,162,-1.0,-71.0
307,78,162,-1.0,-72.0
308,78,162,-1.0,-73.0
309,78,162,-1.0,-74.0
310,78,163,-0.5,-74.5
311,78,164,-0.5,-75.0
312,78,165,-0.5,-75.5
313,78,166,-0.5,-76.0
314,78,166,-1.0,-77.0
315,78,167,-0.5,-77.5
316,78,167,-1.0,-78.5
317,78,167,-1.0,-79.5
318,78,168,-0.5,-80.0
319,79,168,1.0,-79.0
320,80,168,1.0,-78.0
321,80,169,-0.5,-78.5
322,80,170,-0.5,-79.0
323,80,171,-0.5,-79.5
324,80,172,-0.5,-80.0
325,80,172,-1.0,-81.0
326,80,173,-0.5,-81.5
327,80,173,-1.0,-82.5
328,80,173,-1.0,-83.5
329,80,174,-0.5,-84.0
330,80,175,-0.5,-84.5
331,80,176,-0.5,-85.0
332,80,177,-0.5,-85.5
333,80,178,-0.5,-86.0
334,81,178,1.0,-85.0
335,81,179,-0.5,-85.5
336,81,179,-1.0,-86.5
337,81,180,-0.5,-87.0
338,81,181,-0.5,-87.5
339,81,182,-0.5,-88.0
340,81,183,-0.5,-88.5
341,81,184,-0.5,-89.0
342,81,184,-1.0,-90.0
343,81,185,-0.5,-90.5
344,81,186,-0.5,-91.0
345,81,187,-0.5,-91.5
346,81,188,-0.5,-92.0
347,81,189,-0.5,-92.5
348,81,190,-0.5,-93.0
349,81,191,-0.5,-93.5
350,81,192,-0.5,-94.0
351,81,193,-0.5,-94.5
352,81,194,-0.5,-95.0
353,81,195,-0.5,-95.5
354,81,196,-0.5,-96.0
355,81,197,-0.5,-96.5
356,81,197,-1.0,-97.5
357,81,198,-0.5,-98.0
358,81,199,-0.5,-98.5
359,81,199,-1.0,-99.5
360,82,199,1.0,-98.5
361,82,200,-0.5,-99.0
362,82,201,-0.5,-99.5
363,83,201,1.0,-98.5
364,83,202,-0.5,-99.0
365,83,203,-0.5,-99.5
366,83,204,-0.5,-100.0
367,83,205,-0.5,-100.5
368,83,205,-1.0,-101.5
369,83,206,-0.5,-102.0
370,84,206,1.0,-101.0
371,84,207,-0.5,-101.5
372,84,208,-0.5,-102.0
373,85,208,1.0,-101.0
374,86,208,1.0,-100.0
375,86,208,-1.0,-101.0
376,86,209,-0.5,-101.5
377,86,210,-0.5,-102.0
378,86,210,-1.0,-103.0
379,86,210,-1.0,-104.0
380,86,211,-0.5,-104.5
381,86,212,-0.5,-105.0
382,86,212,-1.0,-106.0
383,86,213,-0.5,-106.5
384,86,214,-0.5,-107.0
385,86,215,-0.5,-107.5
386,86,216,-0.5,-108.0
387,86,217,-0.5,-108.5
388,86,218,-0.5,-109.0
389,86,219,-0.5,-109.5
390,86,220,-0.5,-110.0
391,86,221,-0.5,-110.5
392,86,221,-1.0,-111.5
393,86,221,-1.0,-112.5
394,86,222,-0.5,-113.0
395,86,223,-0.5,-113.5
396,86,224,-0.5,-114.0
397,86,225,-0.5,-114.5
398,86,225,-1.0,-115.5
399,86,226,-0.5,-116.0
400,86,227,-0.5,-116.5
401,86,228,-0.5,-117.0
402,86,229,-0.5,-117.5
403,86,229,-1.0,-118.5
404,86,230,-0.5,-119.0
405,86,231,-0.5,-119.5
406,86,231,-1.0,-120.5
407,86,232,-0.5,-121.0
408,86,232,-1.0,-122.0
409,86,233,-0.5,-122.5
410,86,234,-0.5,-123.0
411,86,234,-1.0,-124.0
412,86,234,-1.0,-125.0
413,86,234,-1.0,-126.0
414,86,234,-1.0,-127.0
415,86,235,-0.5,-127.5
416,86,235,-1.0,-128.5
417,86,236,-0.5,-129.0
418,86,237,-0.5,-129.5
419,86,237,-1.0,-130.5
420,86,238,-0.5,-131.0
